dia,mes,hora,municipio,bairro,localidade,atingidos,mortos,feridos,agentes mortos,agentes feridos,presenca_policial,motivo
18,8,5:30,Rio de Janeiro,Vila Isabel,Morro dos Macacos,0,0,0,0,0,não,Bala Perdida
21,8,12:24,Belford Roxo,Parque Amorim ,Rua Alameda Argentina,1,0,1,0,0,não,Bala Perdida
22,8,2:00,Niterói,Vital Brasil,Maestro José Botelho,0,0,0,0,0,não,Bala Perdida
23,8,8:00,Belford Roxo,Jardim Redentorl,Avenida Automóvel Clube,1,0,1,0,0,sim,Bala Perdida
26,8,20:30,Rio de Janeiro,Bangu,Estrada da Água Branca,1,0,1,0,0,não,Bala Perdida
5,9,5:00,Rio de Janeiro,Gávea,Túnel Zuzu Angel,1,0,1,0,0,não,Bala Perdida
5,9,8:10,Rio de Janeiro,Tijuca,Muda,0,0,0,0,0,sim,Bala Perdida
5,9,15:30,Rio de Janeiro,Copacabana,-,0,0,0,0,0,desconhecido,Bala Perdida
5,9,10:20,Niterói,Centro,Rua José Clemente,2,0,2,0,0,sim,Bala Perdida
10,9,15:00,Rio de Janeiro,Marechal Hermes,Rua Carandaí,1,0,1,0,0,não,Bala Perdida
10,9,7:16,Rio de Janeiro,Vicente de Carvalho,Morro do Juramento,1,0,1,0,0,sim,Bala Perdida
9,9,19:58,Rio de Janeiro,Tijuca,Morro do Borel,2,0,2,0,0,sim,Bala Perdida
13,9,14:00,Rio de Janeiro ,Bonsucesso ,Rua Cardoso de Morais ,1,0,1,0,0,não,Bala Perdida
