bairros,disparos,presenca_policial,mortos,feridos
Edson Passos,6,0,1,0
Encantado,6,0,0,0
Flamengo,6,3,0,2
Inhaúma,6,1,0,0
Jardim Delamare,6,2,2,0
Jardim Guandu,6,1,3,0
Lagoinha (Nova Iguaçu),6,1,1,0
Marapicu,6,3,2,1
Miriambi,6,0,2,2
Oswaldo Cruz,6,0,0,1
Paraíso (São Gonçalo),6,3,1,4
Pechincha,6,1,0,3
Pendotiba,6,1,2,2
Pita,6,2,3,3
Posse,6,0,2,1
Rancho Novo,6,1,3,1
Riachão (Nova Iguaçu),6,0,1,0
Santo Antônio (Itaboraí),6,1,2,0
Santo Cristo,6,1,0,1
São Jorge,6,2,0,3
São Mateus,6,3,1,0
Apolo II,5,0,2,0
Campos Elíseos,5,0,0,1
Coelho,5,0,0,0
Gardênia Azul,5,0,4,5
Hiterland,5,0,0,0
Jardim São Bento,5,0,0,0
Jardim Tropical,5,0,1,0
Mutuapira,5,3,4,1
Outeiro das Pedras,5,1,1,1
Parque Anchieta,5,2,0,0
Parque Guandu,5,1,2,1
Parque Martinho,5,0,1,0
Parque São Vicente,5,2,3,1
Pilar,5,3,1,3
Raul Veiga,5,1,0,4
Rocha Sobrinho,5,0,0,0
Santa Cruz da Serra,5,1,2,0
Santa Isabel,5,0,0,0
Trindade,5,2,4,1
Vila Candoza,5,1,4,0
Vila Cosmos,5,1,1,1
Vila de Cava,5,2,3,1
Vila Esperanca,5,0,0,0
Vila Rosali,5,0,1,0
Vila Santo Antônio,5,1,0,0
Vila São Luís (Duque de Caxias),5,1,1,0
Vista Alegre (São Gonçalo),5,0,0,0
Areal,4,3,1,1
BNH (Mesquita),4,1,0,1
Brasilândia,4,0,0,0
Cabral,4,0,0,0
Cabuçu,4,0,2,1
Cantagalo,4,2,2,0
Caramujo,4,2,0,0
Centro (Japeri),4,0,1,0
Centro (Queimados),4,1,3,0
Centro (São Gonçalo),4,1,0,0
Chácaras Rio-Petrópolis,4,0,1,0
Charitas,4,2,2,0
Cosmos,4,0,1,1
Covanca,4,2,2,2
Engenho da Rainha,4,1,0,3
Engenho Pequeno,4,0,2,0
Gávea,4,2,0,6
Gradim,4,1,2,1
Inhoaíba,4,0,2,0
Inoã,4,0,1,2
Itaipu (Niterói),4,3,1,0
Jardim Nova República,4,0,0,0
Jardim Palmares,4,0,1,0
Jardim Santa Marta,4,1,0,0
Manilha,4,1,0,2
Nova Aurora,4,0,1,0
Nova Campinas,4,0,3,0
Nova Cidade (Itaboraí),4,0,4,0
Parque Amorim,4,0,0,1
Parque Floresta,4,3,1,1
Parque Lafaiete,4,0,0,0
Parque Primavera,4,1,1,0
Piabetá,4,1,1,3
Ponto Chic,4,0,3,0
Porto Velho,4,0,1,0
Portuguesa,4,0,0,0
Santa Eugênia,4,0,5,0
Santa Lúcia,4,2,1,0
Santo Antônio da Prata,4,3,0,6
São Francisco de Assis,4,0,2,0
Tenente Jardim,4,0,1,0
Turiaçu,4,1,0,1
Vila Emil,4,1,0,0
